City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
padre bernardo,-15.35,-48.5,80.2,56,21,6.85,BR,04-25-20
westport,41.14,-73.36,64.0,58,1,9.17,US,04-25-20
kapaa,22.08,-159.32,73.4,88,75,10.29,US,04-25-20
san joaquin,10.26,-67.79,81.32,56,17,8.75,VE,04-25-20
hilo,19.73,-155.09,69.8,77,1,6.8,US,04-25-20
filadelfia,39.95,-75.16,64.99,51,75,4.12,US,04-25-20
provideniya,64.38,-173.3,21.54,89,0,1.88,RU,04-25-20
dandong,40.13,124.39,43.45,59,0,2.93,CN,04-25-20
codrington,-38.27,141.97,59.59,87,100,18.61,AU,04-25-20
saskylakh,71.92,114.08,34.18,94,100,7.27,RU,04-25-20
severo-kurilsk,50.68,156.12,31.33,94,71,12.35,RU,04-25-20
puerto ayora,-0.74,-90.35,84.2,70,20,17.22,EC,04-25-20
butaritari,3.07,172.79,80.6,84,100,14.72,KI,04-25-20
pemangkat,1.17,108.97,79.2,82,93,3.49,ID,04-25-20
gueret,46.17,1.87,71.01,82,97,8.05,FR,04-25-20
huron,41.15,-82.55,60.01,56,95,4.0,US,04-25-20
mendoza,-32.89,-68.83,69.8,43,2,2.24,AR,04-25-20
lusambo,-4.97,23.45,79.65,62,100,1.79,CD,04-25-20
nikolskoye,59.7,30.79,39.2,48,63,11.18,RU,04-25-20
sitka,57.05,-135.33,46.4,75,75,3.36,US,04-25-20
iqaluit,63.75,-68.51,32.0,92,90,8.05,CA,04-25-20
atar,20.52,-13.05,91.17,11,0,12.77,MR,04-25-20
kutum,14.2,24.67,79.09,10,0,10.47,SD,04-25-20
cayenne,4.93,-52.33,84.2,74,42,8.05,GF,04-25-20
nouadhibou,20.93,-17.03,66.09,77,0,25.59,MR,04-25-20
tiksi,71.69,128.87,33.15,91,100,15.66,RU,04-25-20
bredasdorp,-34.53,20.04,66.2,68,0,14.99,ZA,04-25-20
castro,-24.79,-50.01,77.7,36,11,4.68,BR,04-25-20
sobradinho,-12.83,-39.1,83.62,56,62,10.16,BR,04-25-20
praya,14.92,-23.51,80.6,51,20,18.34,CV,04-25-20
umm lajj,25.02,37.27,76.32,44,0,6.53,SA,04-25-20
maldonado,-34.67,-54.92,68.0,94,75,16.11,UY,04-25-20
grand gaube,-20.01,57.66,77.0,88,1,1.99,MU,04-25-20
samarai,-10.62,150.67,79.66,84,78,3.69,PG,04-25-20
cap malheureux,-19.98,57.61,77.0,88,0,1.99,MU,04-25-20
kavaratti,10.57,72.64,85.57,73,68,9.44,IN,04-25-20
zhigansk,66.77,123.37,28.81,97,98,18.92,RU,04-25-20
tomatlan,19.93,-105.25,86.16,29,68,6.11,MX,04-25-20
portland,45.52,-122.68,57.2,87,90,5.82,US,04-25-20
cabo san lucas,22.89,-109.91,90.0,20,20,4.7,MX,04-25-20
broome,42.25,-75.83,55.99,59,72,3.0,US,04-25-20
poum,-20.23,164.02,75.65,72,100,15.7,NC,04-25-20
qaanaaq,77.48,-69.36,33.08,86,74,4.65,GL,04-25-20
waipawa,-41.41,175.52,57.2,87,1,11.41,NZ,04-25-20
brewster,41.4,-73.62,63.0,59,35,3.2,US,04-25-20
airai,-8.93,125.41,59.4,67,40,3.67,TL,04-25-20
komsomolskiy,40.43,71.72,66.2,59,100,4.7,UZ,04-25-20
fortuna,40.6,-124.16,60.01,100,90,3.36,US,04-25-20
anadyr,64.75,177.48,17.6,92,90,11.18,RU,04-25-20
sarangani,5.4,125.46,83.66,77,96,19.77,PH,04-25-20
alto araguaia,-17.31,-53.22,82.63,55,7,7.78,BR,04-25-20
corn island,12.17,-83.04,83.03,73,78,12.28,NI,04-25-20
mitsamiouli,-11.38,43.28,83.23,77,4,12.82,KM,04-25-20
beitbridge,-22.22,30.0,76.1,31,0,8.43,ZW,04-25-20
rio grande,-32.03,-52.1,91.4,26,100,9.17,BR,04-25-20
pinheiro machado,-31.58,-53.38,84.99,39,83,8.01,BR,04-25-20
necochea,-38.55,-58.74,63.0,78,83,8.01,AR,04-25-20
kokkola,63.84,23.13,41.0,44,79,6.93,FI,04-25-20
college,64.86,-147.8,27.0,38,20,9.17,US,04-25-20
port alfred,-33.59,26.89,64.0,91,31,1.99,ZA,04-25-20
north platte,41.12,-100.77,57.99,50,1,12.75,US,04-25-20
luckenwalde,52.08,13.17,57.99,45,63,4.0,DE,04-25-20
bakuriani,41.75,43.53,32.88,58,99,2.51,GE,04-25-20
naron,43.52,-8.15,60.01,87,90,3.36,ES,04-25-20
cape town,-33.93,18.42,71.01,72,0,12.75,ZA,04-25-20
trairi,-3.28,-39.27,83.57,76,83,7.38,BR,04-25-20
ostrovnoy,68.05,39.51,30.18,97,96,7.2,RU,04-25-20
kavieng,-2.57,150.8,84.6,75,95,13.49,PG,04-25-20
batticaloa,7.71,81.69,82.26,79,60,7.2,LK,04-25-20
imeni poliny osipenko,52.42,136.49,28.26,97,93,7.36,RU,04-25-20
geraldton,-28.77,114.6,64.4,82,86,8.05,AU,04-25-20
tateyama,34.98,139.87,61.0,55,20,17.22,JP,04-25-20
karoi,-16.81,29.69,61.99,43,43,1.05,ZW,04-25-20
souillac,-20.52,57.52,77.0,94,75,3.27,MU,04-25-20
victoria,22.29,114.16,70.0,77,40,4.7,HK,04-25-20
santa isabel do rio negro,-0.41,-65.02,84.99,73,96,3.44,BR,04-25-20
ambanja,-13.68,48.45,79.5,79,86,1.54,MG,04-25-20
moose factory,51.26,-80.61,33.8,55,90,12.75,CA,04-25-20
cabrero,-37.03,-72.4,67.96,56,94,10.65,CL,04-25-20
hobart,-42.88,147.33,60.01,82,75,8.05,AU,04-25-20
omsukchan,62.53,155.8,21.92,91,88,4.29,RU,04-25-20
lewisville,33.05,-96.99,73.0,45,40,10.29,US,04-25-20
harlingen,26.19,-97.7,86.0,62,75,18.34,US,04-25-20
rudnaya pristan,44.36,135.81,34.43,87,66,6.67,RU,04-25-20
esperance,-33.87,121.9,55.4,93,48,5.82,AU,04-25-20
goya,-29.14,-59.26,93.81,32,76,9.01,AR,04-25-20
lazaro cardenas,17.96,-102.2,85.41,43,52,8.97,MX,04-25-20
san cristobal,7.77,-72.22,86.0,66,40,8.05,VE,04-25-20
east london,-33.02,27.91,66.51,76,49,10.47,ZA,04-25-20
kwinana,-32.25,115.77,53.6,100,85,4.63,AU,04-25-20
pachino,36.72,15.09,64.0,84,70,7.45,IT,04-25-20
nova granada,-20.53,-49.31,84.2,37,20,6.93,BR,04-25-20
penticton,49.48,-119.59,55.4,54,90,9.17,CA,04-25-20
zhob,31.34,69.45,68.77,37,19,2.15,PK,04-25-20
udachnyy,66.42,112.4,41.0,56,90,13.42,RU,04-25-20
faanui,-16.48,-151.75,81.66,73,10,8.63,PF,04-25-20
alofi,-19.06,-169.92,71.6,100,85,10.07,NU,04-25-20
port macquarie,-31.43,152.92,55.99,97,15,8.19,AU,04-25-20
makakilo city,21.35,-158.09,73.4,82,90,3.36,US,04-25-20
uyuni,-20.46,-66.83,58.69,9,48,9.71,BO,04-25-20
santa cruz de la palma,28.68,-17.76,68.0,64,75,10.29,ES,04-25-20
clyde river,70.47,-68.59,17.6,72,75,9.17,CA,04-25-20
verkhoyansk,67.54,133.38,21.58,92,48,4.85,RU,04-25-20
himatangi,-40.4,175.32,54.0,96,71,5.37,NZ,04-25-20
luderitz,-26.65,15.16,62.6,77,0,6.93,NA,04-25-20
chuy,-33.7,-53.46,76.66,56,100,7.92,UY,04-25-20
pangnirtung,66.15,-65.71,30.2,86,90,3.36,CA,04-25-20
avera,33.19,-82.53,75.2,57,40,9.17,US,04-25-20
bartica,6.4,-58.62,91.4,55,75,9.17,GY,04-25-20
banda aceh,5.56,95.32,79.84,81,100,5.97,ID,04-25-20
vila velha,-20.33,-40.29,79.0,74,75,11.41,BR,04-25-20
kahului,20.89,-156.47,70.0,77,40,8.05,US,04-25-20
yulara,-25.24,130.99,82.4,37,28,17.22,AU,04-25-20
vestmannaeyjar,63.44,-20.27,46.4,70,33,9.17,IS,04-25-20
saint-pierre,-21.34,55.48,77.0,83,20,0.98,RE,04-25-20
monrovia,6.3,-10.8,87.8,66,40,9.17,LR,04-25-20
filingue,14.35,3.32,101.86,13,33,0.94,NE,04-25-20
aklavik,68.22,-135.01,-4.0,76,20,5.82,CA,04-25-20
chapais,49.78,-74.85,30.2,23,1,9.17,CA,04-25-20
alice springs,-23.7,133.88,68.0,18,0,5.82,AU,04-25-20
ankang,32.68,109.02,58.26,48,35,3.31,CN,04-25-20
muros,42.78,-9.06,63.0,84,96,14.0,ES,04-25-20
egvekinot,66.32,-179.17,16.11,88,0,4.16,RU,04-25-20
yaypan,40.38,70.82,72.64,39,98,15.39,UZ,04-25-20
japura,-0.32,102.35,75.13,96,85,1.25,ID,04-25-20
stokmarknes,68.56,14.91,28.99,95,90,34.0,NO,04-25-20
gizo,-8.1,156.84,80.98,78,14,8.5,SB,04-25-20
tasiilaq,65.61,-37.64,41.0,44,20,19.46,GL,04-25-20
cache creek,50.81,-121.32,51.8,65,90,24.16,CA,04-25-20
usagara,-2.68,33.0,75.2,69,20,8.03,TZ,04-25-20
taltal,-25.4,-70.48,71.13,54,1,6.89,CL,04-25-20
adrar,20.5,-10.07,87.78,14,0,7.99,MR,04-25-20
san patricio,19.22,-104.7,75.2,83,40,11.41,MX,04-25-20
nanortalik,60.14,-45.24,34.99,86,25,10.13,GL,04-25-20
lagoa,39.05,-27.98,58.3,73,39,25.26,PT,04-25-20
jurm,36.86,70.83,59.32,33,100,0.98,AF,04-25-20
okhotsk,59.38,143.3,29.25,93,0,7.07,RU,04-25-20
lorengau,-2.02,147.27,82.87,70,96,1.21,PG,04-25-20
angoche,-16.23,39.91,75.7,82,5,8.25,MZ,04-25-20
vardo,70.37,31.11,33.15,92,100,27.51,NO,04-25-20
general roca,-39.03,-67.58,69.8,35,75,8.05,AR,04-25-20
xiongzhou,25.12,114.3,62.37,66,98,0.69,CN,04-25-20
pochutla,15.74,-96.47,82.4,61,5,8.05,MX,04-25-20
kananga,-5.9,22.42,76.23,65,97,4.14,CD,04-25-20
ostersund,63.18,14.64,39.2,65,45,19.46,SE,04-25-20
saint-paul,-21.01,55.27,77.0,78,28,11.41,RE,04-25-20
comodoro rivadavia,-45.87,-67.5,48.2,81,75,1.12,AR,04-25-20
bethlehem,-1.46,-48.5,86.0,74,75,9.17,BR,04-25-20
boa vista,2.82,-60.67,87.8,52,75,12.75,BR,04-25-20
pailon,-17.65,-62.75,86.0,70,40,18.34,BO,04-25-20
chopovychi,50.83,28.95,51.84,80,97,10.51,UA,04-25-20
diego de almagro,-26.37,-70.05,82.99,11,0,11.14,CL,04-25-20
norman wells,65.28,-126.83,3.2,59,20,3.36,CA,04-25-20
hofn,64.25,-15.21,40.73,77,61,18.41,IS,04-25-20
pangkalanbuun,-2.68,111.62,76.39,93,100,1.52,ID,04-25-20
porto nacional,-10.71,-48.42,87.8,58,40,8.05,BR,04-25-20
lazi,48.07,24.23,42.28,73,75,4.72,UA,04-25-20
makat,47.65,53.35,55.47,36,58,10.2,KZ,04-25-20
kaitangata,-46.28,169.85,48.99,79,86,9.66,NZ,04-25-20
korla,41.76,86.15,64.44,18,0,2.19,CN,04-25-20
mulanje,-16.03,35.5,67.71,69,0,5.77,MW,04-25-20
hobyo,5.35,48.53,83.86,75,90,14.58,SO,04-25-20
klaksvik,62.23,-6.59,44.6,81,100,16.11,FO,04-25-20
labuhan,-6.88,112.21,79.86,81,98,3.8,ID,04-25-20
nimes,43.83,4.35,64.99,68,2,11.41,FR,04-25-20
gusau,12.16,6.66,92.98,15,51,2.51,NG,04-25-20
sao lourenco da serra,-23.85,-46.94,81.0,39,17,4.7,BR,04-25-20
surovikino,48.61,42.85,53.37,51,0,7.7,RU,04-25-20
tautira,-17.73,-149.15,77.0,78,20,2.24,PF,04-25-20
xushan,30.18,121.25,60.8,63,80,2.24,CN,04-25-20
yinchuan,38.47,106.27,55.99,5,0,1.01,CN,04-25-20
resistencia,-27.46,-58.98,95.0,41,0,13.87,AR,04-25-20
gujan-mestras,44.63,-1.07,71.6,64,66,10.29,FR,04-25-20
svetlyy,54.67,20.13,46.4,70,20,13.42,RU,04-25-20
puerto escondido,15.85,-97.07,82.4,61,5,8.05,MX,04-25-20
lulea,65.58,22.15,41.0,48,94,12.75,SE,04-25-20
kinablangan,7.69,126.55,79.07,80,77,3.76,PH,04-25-20
griffith,41.53,-87.42,50.0,100,90,13.87,US,04-25-20
lingao,19.91,109.69,70.92,84,89,8.25,CN,04-25-20
letka,59.6,49.42,30.58,95,68,6.98,RU,04-25-20
avarua,-21.21,-159.78,71.6,100,34,2.24,CK,04-25-20
acapetahua,15.28,-92.7,89.6,66,75,6.93,MX,04-25-20
hualmay,-11.1,-77.61,76.8,59,1,8.77,PE,04-25-20
nyrob,60.73,56.72,28.69,97,100,1.57,RU,04-25-20
koutsouras,35.03,25.95,63.0,36,0,8.01,GR,04-25-20
asau,46.43,26.4,55.0,60,81,11.16,RO,04-25-20
stornoway,58.21,-6.39,53.6,58,89,10.29,GB,04-25-20
ahipara,-35.17,173.17,60.37,84,5,9.42,NZ,04-25-20
saldanha,-33.01,17.94,73.4,43,0,8.05,ZA,04-25-20
ilulissat,69.22,-51.1,39.2,55,75,9.17,GL,04-25-20
taoudenni,22.68,-3.98,93.76,11,8,14.29,ML,04-25-20
ucluelet,48.93,-125.55,52.0,93,75,11.41,CA,04-25-20
nome,64.5,-165.41,28.99,63,1,6.93,US,04-25-20
ninghai,29.29,121.42,60.8,63,97,2.24,CN,04-25-20
calvinia,-31.47,19.78,71.87,31,53,4.0,ZA,04-25-20
sinegorskiy,48.01,40.84,54.16,51,19,5.97,RU,04-25-20
kamaishi,39.27,141.88,47.32,81,1,12.88,JP,04-25-20
hamilton,39.18,-84.53,68.0,52,20,16.11,US,04-25-20
ferme-neuve,46.7,-75.45,53.19,39,24,1.57,CA,04-25-20
zavitinsk,50.12,129.45,33.84,79,97,7.4,RU,04-25-20
constitucion,-35.33,-72.42,63.61,69,1,11.63,CL,04-25-20
naberera,-4.2,36.93,63.5,66,60,6.67,TZ,04-25-20
russell,32.35,-85.2,79.0,57,1,10.29,US,04-25-20
ponta delgada,37.73,-25.67,66.2,72,20,19.46,PT,04-25-20
jerantut,3.94,102.36,74.62,91,88,1.3,MY,04-25-20
kizukuri,40.81,140.39,51.01,90,74,1.99,JP,04-25-20
port elizabeth,-33.92,25.57,64.4,82,11,8.05,ZA,04-25-20
isangel,-19.55,169.27,75.78,73,99,14.88,VU,04-25-20
santa cruz,-17.8,-63.17,86.0,74,75,14.99,BO,04-25-20
ormara,25.21,64.64,80.92,69,0,9.62,PK,04-25-20
chkalovskoye,44.84,133.04,36.34,80,23,6.11,RU,04-25-20
emiliano zapata,18.83,-99.18,84.2,28,40,3.36,MX,04-25-20
tabas,33.6,56.92,86.0,13,1,4.7,IR,04-25-20
orocue,4.79,-71.34,95.11,37,0,10.8,CO,04-25-20
shakawe,-18.37,21.85,71.47,36,60,3.98,BW,04-25-20
ordynskoye,54.37,81.9,42.98,58,82,4.85,RU,04-25-20
batagay-alyta,67.8,130.41,18.61,87,5,4.07,RU,04-25-20
prudentopolis,-25.21,-50.98,82.04,32,23,1.34,BR,04-25-20
bubaque,11.28,-15.83,78.33,68,91,15.37,GW,04-25-20
bredy,52.42,60.34,46.94,48,94,15.55,RU,04-25-20
newport,51.59,-3.0,64.4,52,47,5.82,GB,04-25-20
pevek,69.7,170.31,16.77,97,100,5.73,RU,04-25-20
yemtsa,63.07,40.33,29.43,96,100,6.91,RU,04-25-20
iskateley,67.68,53.15,28.69,94,100,13.22,RU,04-25-20
kamakwie,9.5,-12.23,86.45,61,100,0.98,SL,04-25-20
kil,59.51,13.31,55.0,34,87,11.41,SE,04-25-20
ginda,30.69,78.49,54.64,28,79,4.03,IN,04-25-20
maria aurora,15.8,121.47,76.46,81,69,3.29,PH,04-25-20
marsh harbour,26.54,-77.06,83.19,70,100,15.26,BS,04-25-20
shirak,40.84,43.92,41.0,80,90,2.24,AM,04-25-20
birao,10.28,22.79,88.95,9,6,5.97,CF,04-25-20
khatanga,71.97,102.5,19.8,96,100,13.29,RU,04-25-20
tefe,-3.35,-64.71,87.8,74,40,8.05,BR,04-25-20
kiama,-34.68,150.87,69.01,58,36,5.99,AU,04-25-20
redcar,54.62,-1.06,64.0,65,0,5.41,GB,04-25-20
harper,4.38,-7.72,82.65,78,100,9.01,LR,04-25-20
dorado,18.46,-66.27,87.8,55,75,16.11,PR,04-25-20
south houston,29.66,-95.24,81.0,47,20,10.29,US,04-25-20
kefamenanu,-9.45,124.48,71.47,83,81,4.5,ID,04-25-20
nha trang,12.25,109.18,84.2,79,40,16.11,VN,04-25-20
teguise,29.06,-13.56,73.4,43,20,17.22,ES,04-25-20
isla mujeres,21.23,-86.73,87.01,74,75,9.17,MX,04-25-20
tutoia,-2.76,-42.27,87.8,66,40,10.29,BR,04-25-20
todos santos,23.45,-110.22,66.0,81,45,5.01,MX,04-25-20
rawson,-43.3,-65.1,55.92,74,100,17.94,AR,04-25-20
moerai,-22.43,-151.33,78.96,78,46,12.88,PF,04-25-20
mana,5.66,-53.78,84.2,70,30,8.61,GF,04-25-20
talnakh,69.49,88.4,28.4,86,100,29.08,RU,04-25-20
narsaq,60.92,-46.05,37.4,74,75,9.17,GL,04-25-20
otane,-39.88,176.63,45.0,90,0,1.99,NZ,04-25-20
de-kastri,51.47,140.78,30.67,98,95,7.96,RU,04-25-20
enid,36.4,-97.88,66.0,55,1,9.17,US,04-25-20
qiongshan,20.01,110.35,69.8,94,90,6.71,CN,04-25-20
flinders,-34.58,150.86,69.01,81,30,1.01,AU,04-25-20
calamar,10.25,-74.91,91.4,66,20,8.05,CO,04-25-20
daru,-9.08,143.21,79.79,86,78,11.23,PG,04-25-20
andros town,24.7,-77.77,82.4,74,75,12.75,BS,04-25-20
yelatma,54.97,41.75,41.0,92,100,0.49,RU,04-25-20
winnemucca,40.97,-117.74,57.2,47,1,4.7,US,04-25-20
hasaki,35.73,140.83,57.0,62,20,8.05,JP,04-25-20
erenhot,43.65,111.98,43.38,37,29,12.62,CN,04-25-20
piranhas,-16.43,-51.82,84.33,59,19,6.53,BR,04-25-20
sola,-13.88,167.55,80.74,84,86,21.18,VU,04-25-20
genc,38.75,40.56,48.79,58,100,2.19,TR,04-25-20
pemba,-12.97,40.52,80.55,79,48,12.77,MZ,04-25-20
salym,60.06,71.48,35.83,76,99,8.99,RU,04-25-20
dingle,11.0,122.67,79.41,84,5,8.14,PH,04-25-20
matata,-37.88,176.75,53.01,91,0,6.87,NZ,04-25-20
alta floresta,-9.88,-56.09,87.8,66,75,2.24,BR,04-25-20
minnedosa,50.25,-99.84,37.4,86,75,14.99,CA,04-25-20
kroya,-7.63,109.25,79.2,83,99,2.51,ID,04-25-20
teacapan,22.55,-105.75,84.81,36,45,5.86,MX,04-25-20
puerto carreno,6.19,-67.49,93.2,41,2,12.75,CO,04-25-20
burnie,-41.07,145.92,55.99,9,100,1.01,AU,04-25-20
icod de los vinos,28.37,-16.71,66.2,67,40,19.46,ES,04-25-20
dudinka,69.41,86.18,28.4,86,100,29.08,RU,04-25-20
bathsheba,13.22,-59.52,87.8,55,20,24.16,BB,04-25-20
tazovskiy,67.47,78.7,23.79,96,98,16.26,RU,04-25-20
yar-sale,66.83,70.83,19.83,94,0,11.43,RU,04-25-20
preobrazheniye,42.9,133.91,33.93,88,25,2.95,RU,04-25-20
solnechnyy,50.72,136.63,27.03,94,92,7.4,RU,04-25-20
cabinda,-5.55,12.2,79.52,87,96,9.13,AO,04-25-20
kaka,37.35,59.61,70.36,49,13,7.16,TM,04-25-20
whitianga,-36.83,175.7,51.01,95,13,10.45,NZ,04-25-20
riyadh,24.69,46.72,96.8,15,75,11.41,SA,04-25-20
prince rupert,54.32,-130.32,48.2,83,90,11.41,CA,04-25-20
san quintin,30.48,-115.95,76.28,46,0,6.22,MX,04-25-20
oranjemund,-28.55,16.43,65.43,71,0,4.38,NA,04-25-20
madang,-5.22,145.8,78.76,78,98,4.12,PG,04-25-20
pokhara,28.23,83.98,64.71,36,100,2.77,NP,04-25-20
sajanan,37.06,9.24,71.6,64,40,9.17,TN,04-25-20
giddalur,15.35,78.92,84.31,60,39,6.35,IN,04-25-20
price,39.6,-110.81,55.4,35,1,2.93,US,04-25-20
tulsipur,28.13,82.3,80.01,88,88,4.0,NP,04-25-20
araceli,10.55,119.99,84.83,77,6,20.36,PH,04-25-20
kisangani,0.52,25.2,79.92,62,39,2.39,CD,04-25-20
waingapu,-9.66,120.26,79.25,82,100,11.72,ID,04-25-20
muhos,64.81,25.99,39.2,55,100,17.22,FI,04-25-20
barra do garcas,-15.89,-52.26,85.01,61,12,5.84,BR,04-25-20
ancud,-41.87,-73.82,61.0,88,91,3.0,CL,04-25-20
winnetka,42.11,-87.74,44.6,87,90,9.17,US,04-25-20
awjilah,29.11,21.29,73.11,29,7,7.43,LY,04-25-20
ushumun,52.78,126.53,30.11,83,78,4.63,RU,04-25-20
ahja,58.21,27.07,44.6,33,57,10.29,EE,04-25-20
padang,-0.95,100.35,79.2,81,100,5.1,ID,04-25-20
santa maria,-29.68,-53.81,89.1,32,74,5.75,BR,04-25-20
beloha,-25.17,45.05,70.92,83,31,4.38,MG,04-25-20
actopan,20.27,-98.93,81.09,15,3,3.62,MX,04-25-20
joshimath,30.57,79.57,49.35,23,71,4.34,IN,04-25-20
pajan,-1.57,-80.42,83.55,65,75,1.59,EC,04-25-20
maryville,35.76,-83.97,69.01,77,90,6.93,US,04-25-20
launceston,-41.45,147.17,55.4,93,90,20.8,AU,04-25-20
blagoyevo,63.37,47.92,28.58,93,98,4.68,RU,04-25-20
kochevo,59.6,54.31,27.88,97,81,4.61,RU,04-25-20
mandalgovi,45.76,106.27,48.85,34,43,5.57,MN,04-25-20
siavonga,-16.54,28.71,76.48,47,43,1.39,ZM,04-25-20
martapura,-3.42,114.85,75.49,92,99,0.54,ID,04-25-20
ouadda,8.08,22.4,79.75,15,3,1.77,CF,04-25-20
lalpur,22.2,69.97,78.78,86,0,13.65,IN,04-25-20
denpasar,-8.65,115.22,82.4,94,20,8.05,ID,04-25-20
buala,-8.14,159.59,82.09,78,36,6.53,SB,04-25-20
